2016/12/27 15:32:38.055252 [chanrpc.go:20][1;35m[TRACE] agent 断开连接... [0m 
2016/12/27 15:32:38.056235 [chanrpc.go:20][1;35m[TRACE] agent 断开连接... [0m 
2016/12/27 15:32:42.315848 [gate.go:118][1;35m[TRACE] 解析出来的数据type[*ddproto.QuickConn],m[header:<userId:881828 > channelId:"AppStore" gameId:2 currVersion:1 userId:881828 ] [0m 
2016/12/27 15:32:42.316008 [handler.go:29][1;35m[TRACE] 游戏登陆的时候发送的请求的协议内容login.handler.HandlerREQQuickConn()[header:<userId:881828 > channelId:"AppStore" gameId:2 currVersion:1 userId:881828 ],remotAddr[192.168.199.207:52627] [0m 
2016/12/27 15:32:42.316325 [handler.go:37][1;35m[TRACE] handlerREQQuickConn 协议返回的信息:[header:<userId:0 code:0 error:"" > gameServer:<ip:"192.168.199.120" port:3799 releaseTag:1 currVersion:1 isUpdate:0 downloadUrl:"http://d.tondeen.com/sjtexas.html" versionInfo:"" isMaintain:0 maintainMsg:"\346\265\213\350\257\225\346\226\227\345\234\260\344\270\273\347\232\204\347\273\264\346\212\244\344\277\241\346\201\257" status:1 gameId:3 > gameServer:<ip:"192.168.199.120" port:3798 releaseTag:1 currVersion:1 isUpdate:0 downloadUrl:"http://d.tondeen.com/sjtexas.html" versionInfo:"" isMaintain:0 maintainMsg:"\346\265\213\350\257\225\346\226\227\345\234\260\344\270\273\347\232\204\347\273\264\346\212\244\344\277\241\346\201\257" status:1 gameId:2 > gameServer:<ip:"192.168.199.120" port:3800 releaseTag:1 currVersion:1 isUpdate:0 downloadUrl:"http://d.tondeen.com/sjtexas.html" versionInfo:"" isMaintain:0 maintainMsg:"\347\202\270\351\207\221\350\212\261\347\232\204\347\273\264\346\212\244\344\277\241\346\201\257" status:1 gameId:4 > gameServer:<ip:"192.168.199.120" port:3801 releaseTag:1 currVersion:1 isUpdate:0 downloadUrl:"http://d.tondeen.com/sjtexas.html" versionInfo:"" isMaintain:0 maintainMsg:"\345\244\247\345\216\205\347\232\204\347\232\204\347\273\264\346\212\244\344\277\241\346\201\257" status:1 gameId:5 > serverListVersion:0 ] [0m 
2016/12/27 15:32:42.316462 [gate.go:142][1;35m[TRACE] agent发送的信息 type[*ddproto.AckQuickConn],		 content[header:<userId:0 code:0 error:"" > gameServer:<ip:"192.168.199.120" port:3799 releaseTag:1 currVersion:1 isUpdate:0 downloadUrl:"http://d.tondeen.com/sjtexas.html" versionInfo:"" isMaintain:0 maintainMsg:"\346\265\213\350\257\225\346\226\227\345\234\260\344\270\273\347\232\204\347\273\264\346\212\244\344\277\241\346\201\257" status:1 gameId:3 > gameServer:<ip:"192.168.199.120" port:3798 releaseTag:1 currVersion:1 isUpdate:0 downloadUrl:"http://d.tondeen.com/sjtexas.html" versionInfo:"" isMaintain:0 maintainMsg:"\346\265\213\350\257\225\346\226\227\345\234\260\344\270\273\347\232\204\347\273\264\346\212\244\344\277\241\346\201\257" status:1 gameId:2 > gameServer:<ip:"192.168.199.120" port:3800 releaseTag:1 currVersion:1 isUpdate:0 downloadUrl:"http://d.tondeen.com/sjtexas.html" versionInfo:"" isMaintain:0 maintainMsg:"\347\202\270\351\207\221\350\212\261\347\232\204\347\273\264\346\212\244\344\277\241\346\201\257" status:1 gameId:4 > gameServer:<ip:"192.168.199.120" port:3801 releaseTag:1 currVersion:1 isUpdate:0 downloadUrl:"http://d.tondeen.com/sjtexas.html" versionInfo:"" isMaintain:0 maintainMsg:"\345\244\247\345\216\205\347\232\204\347\232\204\347\273\264\346\212\244\344\277\241\346\201\257" status:1 gameId:5 > serverListVersion:0 ] [0m 
2016/12/27 15:32:42.356355 [chanrpc.go:20][1;35m[TRACE] agent 断开连接... [0m 
2016/12/27 15:32:42.395296 [chanrpc.go:20][1;35m[TRACE] agent 断开连接... [0m 
2016/12/27 15:33:04.452896 [chanrpc.go:20][1;35m[TRACE] agent 断开连接... [0m 
2016/12/27 15:33:26.414725 [chanrpc.go:20][1;35m[TRACE] agent 断开连接... [0m 
2016/12/27 15:33:44.130973 [chanrpc.go:20][1;35m[TRACE] agent 断开连接... [0m 
2016/12/27 15:33:44.131059 [chanrpc.go:20][1;35m[TRACE] agent 断开连接... [0m 
